2024-11-28 20:57:13,934 - __main__ - DEBUG - Config read: vfs_path=virtual_fs.zip, startup_script=startup_script.sh
2024-11-28 21:27:29,948,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:27:46,237,__main__,DEBUG,Config loaded: vfs_path=app.csv, startup_script=startup.sh
2024-11-28 21:28:27,173,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:28:27,174,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:28:27,174,__main__,DEBUG,Emulator initialized
2024-11-28 21:28:27,355,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:28:27,355,__main__,DEBUG,Command executed: ls
2024-11-28 21:30:18,529,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:30:18,529,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:30:18,529,__main__,DEBUG,Emulator initialized
2024-11-28 21:30:18,713,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:30:18,713,__main__,DEBUG,Command executed: ls
2024-11-28 21:30:22,018,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:30:22,019,__main__,DEBUG,Command executed: ls
2024-11-28 21:31:09,111,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:31:09,111,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:31:09,111,__main__,DEBUG,Emulator initialized
2024-11-28 21:31:34,636,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:31:34,637,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:31:34,637,__main__,DEBUG,Emulator initialized
2024-11-28 21:31:34,637,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:31:34,637,__main__,DEBUG,Command executed: ls
2024-11-28 21:31:34,808,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:31:34,808,__main__,DEBUG,Command executed: ls
2024-11-28 21:31:49,503,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:31:49,504,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:31:49,504,__main__,DEBUG,Emulator initialized
2024-11-28 21:31:49,657,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:31:49,657,__main__,DEBUG,Command executed: ls
2024-11-28 21:31:52,845,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:31:52,846,__main__,DEBUG,Command executed: ls
2024-11-28 21:31:53,791,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:31:53,791,__main__,DEBUG,Command executed: ls
2024-11-28 21:32:13,980,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:32:13,981,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:32:13,981,__main__,DEBUG,Emulator initialized
2024-11-28 21:32:14,146,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:32:14,146,__main__,DEBUG,Command executed: ls
2024-11-28 21:32:16,067,__main__,DEBUG,Listing files in current directory: 
2024-11-28 21:32:16,067,__main__,DEBUG,Command executed: ls
2024-11-28 21:32:30,659,__main__,DEBUG,Config loaded: vfs_path=virtual_fs.zip, startup_script=startup.sh
2024-11-28 21:32:30,659,__main__,DEBUG,VFS initialized: vfs_path=virtual_fs.zip
2024-11-28 21:32:30,660,__main__,DEBUG,Emulator initialized
2024-11-28 21:32:30,818,__main__,DEBUG,Listing files in current directory: 
